Variant,Run,Augmentation,Val_IoU,Val_Dice,Test_IoU,Test_Dice,Test_Precision,Test_Recall,Test_F1,Test_accuracy,Parameters
Baseline (Early Fusion),1,Yes,0.7648077816699296,0.8642050926563641,0.7674804569612489,0.8658232278419061,0.9001628603263598,0.8350544789353513,0.8658227289421151,0.9283582787760052,28246722
Baseline (Early Fusion),2,Yes,0.7612375227374727,0.8616494560236725,0.764266687452212,0.8636049738865507,0.9040566477433327,0.8279955709550959,0.8636044754049679,0.9279591409778966,28246722
Baseline (Early Fusion),3,Yes,0.7650323555527351,0.864555987957895,0.7608345714109841,0.8614615673752939,0.9000117185632268,0.8270027775865594,0.8614610686407734,0.9260686071290848,28246722
Baseline (Early Fusion),4,Yes,0.764891047441956,0.8647379035301476,0.7656338571081441,0.8646297429591419,0.9096529806511103,0.8253784273581886,0.8646292447475042,0.9277735007432008,28246722
Baseline (Early Fusion),5,Yes,0.7609865847851848,0.8619338915487207,0.7659064815460691,0.8649813489305866,0.9002870376538347,0.8333621100060192,0.8649808500712132,0.9273220614378452,28246722
Ablation: No Multi-Level Fusion,1,Yes,0.7784835144290129,0.8733298789204585,0.7718413487646378,0.8689220209378659,0.8987943153182635,0.8415341166900678,0.8689215216802605,0.9293952992083264,60136002
Ablation: No Multi-Level Fusion,2,Yes,0.7745103509264665,0.8703568854907245,0.7707524558181154,0.8681385732084618,0.9076029131225639,0.8332492023918249,0.8681380746001676,0.9296632565945439,60136002
Ablation: No Multi-Level Fusion,3,Yes,0.7742790994034108,0.8704531780941951,0.7638626433595453,0.8635127489214005,0.9114297363731378,0.821890736200184,0.8635122508529686,0.9282464228173679,60136002
Ablation: No Multi-Level Fusion,4,Yes,0.774236121368344,0.8701323799191575,0.7629124596721725,0.8630177688957579,0.9129519180089863,0.8195893228928185,0.8630172708723516,0.9275474548335201,60136002
Ablation: No Multi-Level Fusion,5,Yes,0.76858978872474,0.8665981911564489,0.7647209709798303,0.8639667358346602,0.9097965399516966,0.8237368097359683,0.8639662375523471,0.9283857345576408,60136002
Ablation: No CBAM Attention,1,Yes,0.7832475600831313,0.8765321600582467,0.7728502298324837,0.8695573481805018,0.9128792490672876,0.8312752114221391,0.8695568496989119,0.9305825986355593,62901576
Ablation: No CBAM Attention,2,Yes,0.7804261474557697,0.8746662988989214,0.7735442857305093,0.8701582499322595,0.9159512093542052,0.829663428740484,0.8701577515160823,0.9303770818203737,62901576
Ablation: No CBAM Attention,3,Yes,0.7816673792274353,0.8754458493721915,0.7739221695282725,0.8702985984763032,0.8970526012780484,0.8457659742880272,0.8702980991355296,0.929650783538353,62901576
Ablation: No CBAM Attention,4,Yes,0.7830888300170282,0.8763921438045692,0.7813141145875695,0.8751375448041956,0.9013394706095276,0.8511291923497758,0.8751370454594659,0.9322249261951798,62901576
Ablation: No CBAM Attention,5,Yes,0.7826986094347611,0.8764191757142721,0.779364130150774,0.8737883552181283,0.9034216500314802,0.8469230972607736,0.8737878560500905,0.9320088185757437,62901576
Ablation: No Deep Supervision,1,Yes,0.7781790334657189,0.8728206720863354,0.7638622874179262,0.8635481388520369,0.9183726979347991,0.8164639130731356,0.8635476411935347,0.9283662344275395,64295342
Ablation: No Deep Supervision,2,Yes,0.7715255311497856,0.86847234519104,0.7751201093548187,0.8710434306405376,0.9017130056654019,0.8429791733670257,0.8710429314141521,0.9306474735857675,64295342
Ablation: No Deep Supervision,3,Yes,0.7786739529805351,0.8731738991462409,0.7742433314168891,0.87045900797443,0.9106192242601615,0.8349094222922502,0.8704585093636308,0.9309856264210109,64295342
Ablation: No Deep Supervision,4,Yes,0.7813548756740171,0.8750660173543106,0.7721557768327555,0.8690701616791128,0.9039325144166966,0.8375923688384315,0.8690696626997879,0.9305289921003003,64295342
Ablation: No Deep Supervision,5,Yes,0.7750439377364186,0.8711857884938774,0.7766854306782983,0.872045295357505,0.9127028282820687,0.8360958538608244,0.8720447967760496,0.9322863879952028,64295342
Ablation: No Warmup Scheduler,1,Yes,0.7868914293216047,0.8790982710417808,0.7577595515128208,0.8598250106280875,0.9225717001711423,0.8061600861461131,0.8598245133386163,0.9252379066061105,64298932
Ablation: No Warmup Scheduler,2,Yes,0.7818841833948091,0.875671294457684,0.7515940825747807,0.8557449552568143,0.9329011822197583,0.7921213113915465,0.8557444593350109,0.9222004037149739,64298932
Ablation: No Warmup Scheduler,3,Yes,0.7843816852989638,0.877137917077161,0.7727894779626304,0.8697591423976643,0.9047634491979979,0.8380317156109853,0.8697586433644459,0.9293135090873483,64298932
Ablation: No Warmup Scheduler,4,Yes,0.7776052835865025,0.8727599466538543,0.778564798060286,0.8734496200024081,0.8923627736380638,0.856443807723433,0.8734491205768036,0.9306370333616719,64298932
Ablation: No Warmup Scheduler,5,Yes,0.7801661323918911,0.8744760941638416,0.7840620193801915,0.8771571647768323,0.8931998822435749,0.8623012320658109,0.8771566651262348,0.9317602609328574,64298932
Ablation: No Augmentation,1,No,0.7856163244184389,0.8779334669017415,0.7825749058319612,0.8759524630230517,0.9061074944447822,0.8485530868844074,0.8759519638485768,0.9329349116270516,64298932
